id,name,actor_id,count
0,brotherlogic,5978,13790
1,miki725,932940,531
2,mikedidomizio,5728044,897
3,Renovate,4343120,1
4,shiatsumat,529217,351
5,wti806,32399754,10
6,ramya-rao-a,16890566,6173
7,yu199195,9673503,4818
8,erlepereira,359417,0
9,leocwlam,35342488,30
10,ericchiang,2342749,617
11,SamHames,8400977,283
12,tkishel,1613311,533
13,DavidS,6697159,49
14,normj,1653751,1750
15,tschaub,41094,3055
16,wuxudong,26275031,0
17,siddontang,1080370,110
18,amyadzuki,31188054,0
19,thomasp85,1775316,1683
20,y-takey,1817802,413
21,corinnekrych,1395710,1
22,fabric8-cd,26630553,0
23,raipc,2247781,511
24,rodionos,2098022,712
25,cbrevik,4932625,1721
26,robinmanuelthiel,5874465,594
27,nicholas-codecov,105234307,0
28,Jesper Lekland,10115896,11
29,GSadee,6140884,4395
30,s0md3v,26716802,445
31,codecov-io,8655789,65040
32,ralphbean,331338,451
33,ChShersh,4276606,1609
34,Slok,91879110,1
35,nitzanj,1670108,136
36,erikandre,4519148,7
37,Facebook GitHub Bot,6422482,166269
38,duncdrum,6205362,2464
39,snyk-bot,19733683,519896
40,chuanshuoye,4725224,98
41,SamVerschueren,1913805,944
42,mfehr94,14167832,758
43,jonathanswong,34286815,34
44,rhelmot,2498805,2119
45,redgeoff,3378986,1985
46,dependabot-preview[bot],27856297,7569808
47,jsemler1969,1605855,0
48,ihacku,2731416,54
49,jancajthaml,2333883,5751
50,xh3b4sd,552769,6267
51,joelrebel,1710121,229
52,yangjianzhou,4621041,164
53,Kiikurage,3253117,322
54,Zales0123,6212718,2273
55,HazAT,363802,1242
56,kkoumantaros,2379008,35
57,wnxn,13119696,0
58,vincentfretin,112249,1254
59,agelostsal,15677505,493
60,DvdMgr,2565129,295
61,Jaumard,2970449,1081
62,ezrobot,681611,14
63,rasmuserik,496937,29
64,ElRaptorus,15343316,138
65,Mosquito,792981,1575
66,aokumasan,8992675,434
67,snoyberg,49415,1831
68,thedrow,48936,2771
69,auvipy,6212603,5177
70,Decadence,43277162,29
71,cmswalker,8467234,1
72,alvarotrigo,1706326,927
73,syndbg,6031925,476
74,Kenta Iwasaki,8392982,0
75,hSaria,34197532,492
76,scottbedard,7980426,922
77,Leonya Ivanov,4691018,0
78,Hypnosphi,6651625,800
79,wonderflow,2173670,10469
80,s-nakajima,4422735,1738
81,Hibernate CI,4276295,209
82,gsmet,13350837,440
83,jmrodri610,51442340,54
84,faiface,3924105,44
85,matfish2,1510460,335
86,ClaraBuettner,22964326,1355
87,Doug Martin,112938,1592
88,ai,17572232,16
89,daviscabral,4285,25
90,vieron,43971,61
91,tophsic,930980,10
92,sabas,1304918,55
93,Ståle,54276199,107
94,VesnaT,11465003,488
95,sfriedel,520864,508
96,Chris Ramón,1000404,161
97,ZachiNachshon,24696487,431
98,bootstraponline,1173057,1069
99,marijnh,144427,4654
100,visualfc,714279,1877
101,mhchia,8223657,280
102,revolunet,124937,7368
103,dingo-d,8638515,3299
104,mhallin,439202,21
105,nuxZERO,2638321,595
106,soffchen,891708,218
107,Bryan Apellanes,943330,740
108,Kacper Madej,8960408,1108
109,cvasseng,1998167,26
110,sixer1182,15432768,525
111,kortschak,275221,2851
112,oberbichler,7000594,1111
113,gfinak,1385593,116
114,Mykola Mokhnach,7767781,8131
115,sawanoboly,272388,371
116,rikkola,331092,879
117,jcraigk,104095,1001
118,Arkounay,9340719,245
119,integrii,98695,836
120,shockey,680248,60
121,Googlebot,7505729,93
122,sequoiaat,20103264,0
123,dylan_DPC,12371125,2786
124,kinggoesgaming,15664607,111
125,bors,3372342,53883
126,LucasLorentz,2268284,347
127,ruimarinho,288709,572
128,Martin0809,7046201,3
129,cycjimmy,19383787,463
130,gbuomprisco,3512197,270
131,Ondrej Fabry,60961314,0
132,DjebbZ,77278,68
133,MortalFlesh,6317184,836
134,maciejtreder,15926528,46
135,Marjan Georgiev,8687,218
136,k8s-ci-robot,20407524,312670
137,tartley,137979,191
138,junderw,11246316,1610
139,nicolaasuni,1186996,1129
140,SML-MeSo,8614197,8
141,Tessel Bot,27792616,0
142,SMOKE,42789915,209
143,zsquareplusc,10556012,93
144,euvl,1577802,86
145,deepakkumar1984,6328361,212
146,davazp,265168,263
147,TastefulSamwise,88735872,2
148,Skyesx,13088346,0
149,dreampiggy,6919743,1075
150,bailantaotao,5364396,27
151,fooontic,12127740,86
152,cuining,32104475,0
153,ajayns,20743219,9
154,PabloGarcimartin,39849351,23
155,JimGreenberg,20466273,4
156,MindFlavor,431595,1226
157,italolelis,1108049,315
158,allencloud,9465626,445
159,genomics-geek,18250655,2243
160,ymmt2005,1461515,4086
161,vmarkovtsev,2793551,5899
162,amay077,401369,787
163,tomreid76,2379769,119
164,Anthony Bloomer,13507905,354
165,samussiah,5428548,474
166,eed3si9n,184683,4886
167,mikem8361,10454379,3585
168,garethahealy,8656974,1490
169,kazuki43zoo,5616270,596
170,ebussieres,10672519,80
171,jcfr,219043,4697
172,zreichert,2602509,0
173,msaps,3515448,63
174,shrektan,8368933,328
175,aelanman,12849618,216
176,Matthew Dolan,36856620,644
177,tobilg,1841985,192
178,PTaylour,3678476,12
179,matthewhanson,1416900,2113
180,gerhardsletten,63344,192
181,AVVS,1713617,825
182,jonobr1,220033,848
183,Frezbo,18496730,1845
184,maartenbreddels,1765949,3832
185,Michael  Aquilina,2650040,396
186,Rikki Gibson,5833655,4809
187,palewire,9993,5203
188,ljharb,45469,21398
189,stereobooster,179534,431
190,mikaoj,4034956,53
191,hamzahamidi,22576950,214
192,Francisco Maciel,6875606,176
193,jpw547,25092264,330
