,actor_id,comment_type_num,comment_num,empty_comment_num,Issuecomment_num,PullRequestReviewcomment_num,Commitcomment_num,label
0,139,3,374,0,344,25,5,Human
1,1812,3,295,0,146,147,2,Human
2,3416,2,108,0,89,19,0,Human
3,3467,2,75,0,51,24,0,Human
4,3579,3,1156,0,519,635,2,Human
5,5709,1,75,0,75,0,0,Human
6,6528,3,368,0,345,22,1,Human
7,7074,3,1423,0,1006,405,12,Human
8,8445,3,31,0,26,4,1,Human
9,8911,2,795,0,314,481,0,Human
10,8957,2,531,0,273,258,0,Human
11,9230,3,1116,0,384,731,1,Human
12,10152,3,342,0,235,97,10,Human
13,10602,2,231,0,118,113,0,Human
14,11307,3,764,0,563,195,6,Human
15,11602,2,160,0,76,84,0,Human
16,13387,3,3019,0,1756,1261,2,Human
17,13717,3,1095,0,431,660,4,Human
18,14386,3,211,0,124,86,1,Human
19,14539,3,1634,0,807,824,3,Human
20,15606,3,190,0,140,49,1,Human
21,15763,2,1651,0,834,817,0,Human
22,17293,2,384,0,219,165,0,Human
23,18562,3,2698,0,2352,345,1,Human
24,19588,2,307,0,119,188,0,Human
25,23610,3,138,0,101,34,3,Human
26,23648,3,485,0,429,54,2,Human
27,24063,2,1285,0,1072,213,0,Human
28,24160,2,104,0,43,61,0,Human
29,25519,2,146,0,116,30,0,Human
30,25607,3,70,0,42,27,1,Human
31,28052,2,672,0,553,119,0,Human
32,28347,3,538,0,326,211,1,Human
33,29231,2,98,0,13,85,0,Human
34,32321,3,1524,0,1318,203,3,Human
35,33993,3,2815,0,2111,702,2,Human
36,34129,3,1476,0,131,1324,21,Human
37,36186,3,945,0,768,176,1,Bot
38,37486,1,11,0,11,0,0,Human
39,37907,3,178,0,134,42,2,Human
40,38700,3,1844,0,1140,702,2,Human
41,40828,2,85,0,50,35,0,Human
42,41181,3,681,0,315,365,1,Human
43,41495,3,1311,0,1216,92,3,Human
44,41759,2,1440,0,670,770,0,Human
45,41873,2,61,0,57,4,0,Human
46,43234,3,1293,0,1044,238,11,Human
47,43312,3,1481,0,608,872,1,Human
48,44319,3,832,0,551,272,9,Human
49,44410,3,791,0,332,458,1,Human
50,45598,2,124,0,106,18,0,Human
51,47985,2,1835,0,700,1135,0,Human
52,51265,2,1113,0,528,585,0,Human
53,51689,3,562,0,462,98,2,Human
54,51996,3,150,0,103,46,1,Human
55,52642,3,247,0,162,81,4,Human
56,54133,3,1426,0,921,504,1,Human
57,54589,2,578,0,219,359,0,Human
58,55161,3,162,0,127,31,4,Human
59,58298,3,271,0,62,202,7,Human
60,59071,3,4567,0,2709,1851,7,Human
61,61303,2,158,0,125,33,0,Human
62,61764,3,672,0,434,237,1,Human
63,62500,3,626,0,212,413,1,Human
64,63286,3,412,0,343,65,4,Human
65,64215,3,2097,0,1057,1033,7,Human
66,64280,3,482,0,303,171,8,Human
67,64996,2,3501,0,2488,1013,0,Human
68,65313,2,126,0,118,8,0,Human
69,67392,3,451,0,425,13,13,Human
70,68591,2,66,0,28,38,0,Human
71,68752,2,741,0,644,97,0,Human
72,70274,3,2300,0,1540,758,2,Human
