,actor_id,login
0,2046846,am1t
1,17950965,littleflute
2,16906199,RCoeurjoly
3,2594236,ahouseholder
4,8488446,Roshanjossey
5,56938752,Huertas97
6,80580,ArnaudLigny
7,418747,jbampton
8,356921,berlotti
9,2476165,unicornx
10,358882,nuclearsandwich
11,12985147,estroz
12,16311747,bdhirsh
13,601530,Atry
14,20933385,Anton-Latukha
15,9447643,devjgm
16,25393315,zicklag
17,5047891,alexdima
18,2607934,shlomi-noach
19,2305178,nielsvanvelzen
20,748691,rob-luke
21,8427313,eabquina
22,12072571,kendrickt
23,74678550,actual-nh
24,1214161,ladyada
25,1227763,goderbauer
26,163183,ahankinson
27,7051925,fmcpherson
28,63669492,alaindargelas
29,445320,awais786
30,1614274,roberthsu2003
31,1100056,drdanz
32,491891,mrcasals
33,34207400,Dhruvacube
34,1580956,chenrui333
35,60157610,0118Add
36,3294597,miina
37,2218841,joroKr21
38,271029,nastra
39,35156,javierm
40,7240227,cleafspear
41,27757146,tristaZero
42,8366208,yairm210
43,18663291,jenniferward
44,4226920,kayhayen
45,5864173,paolodamico
46,6570539,mdhaber
47,426959,sebthom
48,67046386,darshankawar
49,369407,ryandac
50,5959286,jarun
51,19199063,alex-page
52,16653571,DubeySandeep
53,39373750,kiranparajuli589
54,331852,neolit123
55,4741640,ZeWaka
56,352067,inducer
57,2223172,KoBeWi
58,5342536,4Kaylum
59,58097612,3kh0
60,32727188,ydcjeff
61,7025232,ibgreen
62,68466727,williamhorning
63,31796059,eliykat
64,67136658,oxmc
65,1534240,fgalan
66,1058447,marcogario
67,61799811,denelon
68,22963968,lowlighter
69,733364,KenanY
70,17307,brylie
71,11015345,5axes
72,9029026,Matt-Yorkley
73,33658723,rratsun
74,10119814,FabianKramm
75,768677,matttbe
76,55796944,avinashkranjan
77,177877,Malax
78,886059,MicahZoltu
79,3319932,s0
80,33484802,OliverNocon
81,1481228,reinkrul
82,165283,rexim
83,8510081,soehlert
84,70558837,fit2-zhao
85,10122052,marcussc
86,6028184,Nekotekina
87,7288,ariya
88,55030296,luke-h1
89,7382029,shahor02
90,1356444,shibayan
91,10665499,tamuratak
92,3302478,tatarize
93,8144478,Diatrus
94,939877,kmaehashi
95,131982,mjgiarlo
96,8197963,davidrunger
97,18384552,dvaldivia
98,26204457,arkivanov
99,1264736,shengyou
100,34239087,rohit-chouhan
101,1242887,davidism
102,13676514,solarrust
103,7584126,muvaf
104,38746192,smorimoto
105,3796719,janzh
106,9419140,codenamejason
107,1254855,hdcola
108,32044095,lucaslcode
109,26833433,glenn-jocher
110,56696,edwh
111,7886233,rjgeng
112,2692870,dgarske
113,1194344,phpgeekfr
114,173369,shuyangzhou
115,24963659,crobibero
116,194960,dg
117,1170974,zenine07
118,47829178,TayGov
119,11741250,stockiNail
120,16547060,mr-ubik
121,1376924,akoeplinger
122,1185253,mrnugget
123,18329778,Winfidonarleyan
124,12040685,brooksmtownsend
125,5796305,radcortez
126,10364051,afbjorklund
127,94029,moul
128,325433,aaime
129,176720,iurimatias
130,289251,akohlmey
131,700357,jonkeane
132,12124,dimus
133,20404945,magicmatatjahu
134,11336745,bradgarropy
135,15955558,photopea
136,934260,wing328
137,643204,daira
138,9192912,mark-prins
139,1979746,soruly
140,10363352,Goooler
141,49450970,santokalayil
142,6552347,stevehipwell
143,4405297,tshemsedinov
144,625201,danielweck
145,242669,suzuryo
146,1963573,davidfirst
147,7063723,alexarchambault
148,9376104,BowenBao
149,3648029,nicolasstucki
150,15884415,AlexV525
151,3416672,phracek
152,137030,cameel
153,3044,jgm
154,583546,oandregal
155,3595132,marcelsavegnago
156,1939362,davidhewitt
157,38899600,wannabit-yongjoo
158,173288,gilleswittenberg
159,467069,TurboGit
160,156560,williballenthin
161,1959182,JovaniPink
162,581548,tomusdrw
163,30517088,ablaom
164,236970,mlissner
165,14946546,maxmilton
166,432549,Ducasse
167,978368,mrtnzlml
168,11656932,jrbourbeau
169,12086466,ArnyminerZ
170,526301,yegor256
171,44273438,Griefed
172,308610,jaraco
173,565174,williamjacksn
174,886074,teto
175,42220376,chvp
176,359239,shiftkey
177,58900598,Yuki2718
178,439098,tomachalek
179,32565521,yasinatesim
180,21335563,W3stside
181,12468629,elans3
182,2878341,nkolev92
183,16781,ericpp
184,25610,ryanslade
185,43804,glutamate
186,22452781,xadupre
187,13802408,comradekingu
188,96727,tsuyoshicho
189,128338,wxy
190,3830775,robertdebock
191,6841110,MarkLyck
192,15623749,ao508
193,386619,icemac
194,17960496,vladfrangu
195,349114,Elchi3
196,47005843,KellieHawks
197,9664363,EvanBacon
198,13161768,phiz71
199,28691687,mdayican
200,1506493,derrabus
201,63889819,naomi-lgbt
202,9396084,rt4914
203,3333008,mkolar
204,31785395,JoshMerlino
205,9922882,sehilyi
206,11639412,GulajavaMinistudio
207,23460193,steveburton4
208,7405383,tiblu
209,4665641,rstoenescu
210,988985,itzg
211,560705,mikesprague
212,45259624,zxlhhyccc
213,25363473,EmilyBourne
214,896423,yosifkit
215,77008341,jkilzi
216,40172997,abrennan89
217,249606,snopoke
218,1763311,Romakita
219,592504,veggiesaurus
220,4098258,arkon
221,180032,Calinou
222,5588131,kianenigma
223,43799065,fabianbarreto02
224,389971,xylo04
225,2930593,RCheesley
226,3856546,scudette
227,2091777,sinankeskin
228,8686559,DanielKamkha
229,2121481,MauricioRobayo
230,22344007,t1m0thyj
231,43767972,azlam-abdulsalam
232,1161992,distorhead
233,126780,BYK
234,6224096,shyim
235,143473,dankamongmen
236,45987684,msbemba
237,19568747,progfay
238,15934888,whdalsrnt
239,1400464,scttcper
240,35240142,saengmotmi
241,13042488,calebcartwright
242,5834289,glennawatson
243,3931733,aentinger
244,924948,dej611
245,18131787,hchiam
246,6873095,AndrienkoAleksandr
247,18250655,genomics-geek
248,790215,tehasdf
249,7503723,Mrtenz
250,13238737,peterbell10
251,538058,f3l1x
252,756669,Mailaender
253,60111772,triszt4n
254,15927349,berviantoleo
255,1532486,heaths
256,22206500,a0x8o
257,6187689,dpgeorge
258,2982494,mathomp4
259,3532843,kulmann
260,4249848,ericbsd
261,5104484,deadeyegoodwin
262,402462,GerHobbelt
263,1263870,patrickkwang
264,57224,dunglas
265,19348533,patevs
266,26798134,ablack12
267,2896623,quinnj
268,730511,douglasduteil
269,56506714,nekohasekai
270,15035141,SchoolGuy
271,273727,marians
272,1168676,maxime-rainville
273,663605,pepicrft
274,157609,lidel
275,772579,mrchristian
276,33452915,danieleades
277,18718008,skshetry
278,1697736,jkschneider
279,1327659,EreMaijala
280,2490389,tylerjw
281,361637,huwshimi
282,554768,Shillaker
283,2453165,athornton
284,2135826,lukicdarkoo
285,7862753,WeiqunZhang
286,495366,lptr
287,1521877,dac09
288,3940906,bmarty
289,24390932,rhanka
290,439365,daneden
291,283842,nolanlawson
292,320228,Siedlerchr
293,8127830,ala-n
294,59527509,marcauberer
295,39850374,danitseitlin
296,419936,JWCook
297,226720,echarles
298,1556687,pgleeson
299,37487097,AE49
300,3855564,marcoag
301,20341599,sophiewigmore
302,5766837,raysan5
303,32250619,psabbag
304,1132840,nixel2007
305,3442158,damienbod
306,607621,helrond
307,7078894,dosandk
308,135104,ashie
309,9408157,EverlastingBugstopper
310,3396686,saschanaz
311,169707,kzu
312,1689995,jakemulley
313,3181692,MartinHjelmare
314,829836,hughrawlinson
315,12011396,mgansler
316,2665023,aaltat
317,58778985,Katsute
318,5137917,dvesh3
319,94368,linas
320,12886084,chrismaree
321,491659,scoder
322,191721,joakime
323,48686014,dmuelle
324,248078,lgarron
325,1197350,rabernat
326,47347516,bubbliiiing
327,1668778,marefr
328,1911039,opoudjis
329,6781828,devthejo
330,28541963,ElizabethSamuel-MSFT
331,3726815,cobraz
332,1393742,smthomas
333,46767780,jihoon-seo
334,9373002,mhdawson
335,5861765,shorowit
336,10416848,thiolliere
337,1105320,dcplaya
338,1081115,psiinon
339,40892567,graciemcguire
340,6154987,eliecharra
341,1567651,EtienneM
342,8097623,samajammin
343,294415,di
344,55833,athas
345,6908465,maliming
346,26721,egonw
347,520723,iherman
348,626227,Joaquimmnetto
349,41091511,devinleighsmith
350,13832349,zhiltsov-max
351,4982789,brollb
352,65768553,ypise
353,9303709,MarcelMue
354,77262770,SevralT
355,7535555,drkstr101
356,5683677,derTobsch
357,481872,bmesuere
358,1002300,atodorov
359,46708020,NancyLi1013
360,38782922,LinqLover
361,7276403,bluestreak01
362,23701005,MateStrysewske
363,59683,morozov
364,1282879,brianhelba
365,59292,nikolas
366,22350,joaomoreno
367,54129,maxandersen
368,29981695,jdrueckert
369,6829345,liushuyu
370,5924325,kmjennison
371,3531426,felixarntz
372,2911613,lili2311
373,450495,ajtorres9
374,2589105,mengqiy
375,63014,newhoggy
376,3606529,belav
377,32242061,Thomashighbaugh
378,5618806,bmorelli25
379,5497598,ffflorian
380,180542,dae
381,1447686,Itxaka
382,77259,AliasIO
383,5903821,smashah
384,862245,hhuijser
385,2234024,brunobesson
386,42851186,lhoestq
387,1596331,gurkanindibay
388,14565088,jactor-rises
389,11416006,xleclercq
390,278641,nicks
391,8318344,QuintinWillison
392,190986,drazisil
393,3524577,bmagyar
394,47779042,usha-mandya
395,1110551,emmenko
396,4725207,anarkiwi
397,8604205,gkalpak
398,578159,compwron
399,20211602,UnstoppableMango
400,3015990,feruzm
401,36021827,junminahn
402,14562,maedana
403,6248932,gerhardol
404,1895643,rpiaggio
405,816232,jrtc27
406,520521,populist
407,18736235,MFalletta
408,42977,msimberg
409,555156,achimnol
410,66232233,Joker-V2
411,49014,davisagli
412,73185,sojan-official
413,5003891,trasherdk
414,1293565,amaurym
415,1221575,engram-design
416,5062495,adamnovak
417,1848368,donmccurdy
418,3107513,ChristianMurphy
419,24598672,hanars
420,1777442,daschuer
421,733773,martyngigg
422,611219,JoeRobich
423,908206,larshelge
424,37763229,ExperimentsInHonesty
425,7308181,mohawk2
426,5346913,nadenislamarre
427,975267,hazendaz
428,25491240,BraveMole
429,1664508,wxmerkt
430,1201644,CumpsD
431,11896137,pzygielo
432,1483922,hamelsmu
433,25147704,pklaschka
434,120060,mswertz
435,1302442,carpenike
436,20359065,GabyCT
437,194609,bcoe
438,19776877,vinayakkulkarni
439,6053266,Al2Klimov
440,19415881,sdwheeler
441,1627801,morgante
442,7599318,kisvegabor
443,908371,tsullivan
444,130052,travist
445,4305769,saig0
446,24532,bastianallgeier
447,20376162,LoesterFranco
448,588335,justinlittman
449,10014976,danyeaw
450,377279,lucaboesch
451,13489381,wildlifehexagon
452,5888506,larshp
453,3159813,TimoWilken
454,3032,mattkanwisher
455,30027321,ICLXL
456,90316,kremalicious
457,906327,goloroden
458,47790158,mui-pr-bot
459,356399,asvetlov
460,744067,krusche
461,10608570,jkeely
462,51844377,Alpinia
463,327925,takluyver
464,16930340,mamh2021
465,2406189,FoamyGuy
466,1571416,namelivia
467,2306629,NateWr
468,1314752,pd0wm
469,1054393,ktlim
470,2129,badboy
471,23485114,xmha97
472,8962411,BrianZanti
473,24751011,k163377
474,67424416,pedromassangocode
475,16279759,johnsoncodehk
476,18014039,GeopJr
477,18567700,stepps00
478,12926135,kayayarai
479,76431337,4G3NT
480,25425608,restuwahyu13
481,12312,manton
482,45925,peff
483,1232595,birtles
