actor_id,actor_login
139,leahneukirchen
1812,blake
3416,thoughtpolice
3467,kovyrin
3579,blt
5709,goofmint
6528,xuanxu
7074,wincent
8445,zpao
8911,dazuma
8957,dmitri-d
9230,electrum
10152,yashi
10602,watson
11307,dev-zero
11602,mrego
13387,jpkrohling
13717,klizhentas
14386,martinus
14539,peterblazejewicz
15606,mojca
15763,jsoriano
17293,pdubroy
18562,dprotaso
19588,darrenaustin
23610,dcramer
23648,skorokithakis
24063,lewing
24160,rafael
25519,Gregable
25607,kidd
28052,st3fan
28347,alexmv
29231,jzhang533
32321,fire
33993,makortel
34129,bridiver
36186,cuviper
37486,steveire
37907,blitz
38700,mfussenegger
40828,eculver
41181,mjibson
41495,Shougo
41759,tmat
41873,davidortinau
43234,leeoniya
43312,dhellmann
44319,regisb
44410,armenzg
45598,jb55
47985,citizen428
51265,dgoodwin
51689,bamboo
51996,geekgonecrazy
52642,spastorino
54133,gastaldi
54589,rok
55161,yungsters
58298,dain
59071,tchaikov
61303,tomfitzhenry
61764,kristoferbaxter
62500,merlimat
63286,adisbladis
64215,codefromthecrypt
64280,raphaelm
64996,alexcrichton
65313,rlotun
67392,asl
68591,janmonschke
68752,sbenthall
70274,xhochy
72431,canonic-epicure
75213,ivankovnatsky
75371,stigtsp
76245,costin
76526,pes10k
76716,grahamc
77424,eddyb
78827,jnothman
79476,iemejia
79684,billyvg
82778,dzver
86065,YorickPeterse
88600,LebedevRI
89950,stephank
90008,hmaarrfk
90455,gunnarr
91535,theStack
93301,dsas
95136,davidfowl
96081,krnowak
96462,pablinos
100468,brangi
100896,lthall
101649,acrollet
103023,kennytm
103328,erluti
104522,firetech
105507,vshankar
105766,eholk
111951,mhevery
112310,MaxDesiatov
112395,mabraham
114137,spacegaier
114937,xlson
115105,osk
115628,vladar
120810,lw
120915,banks
123942,greens
125676,lipis
125759,jwendell
127186,ajtowns
127797,craigshoemaker
128240,georgeh
129077,sh0
130553,vsajip
131856,raboof
132554,tmeasday
132773,eskatos
132835,samueldr
134711,evanmiller
135839,teburd
137648,CamSoper
138296,gavofyork
142862,cilestin
143270,xandox
145119,tpruvot
150562,mcsf
151885,nlalonde
154702,kghost
156260,jrcamp
158471,djc
158500,hackergil
163737,Dandandan
164791,jayconrod
168902,gyakovlev
172303,Julio-Guerra
172399,egamma
174009,davidbuzz
174200,anfernee
174281,pranavkm
174662,stliu
179026,fkling
179265,FroMage
181681,alikon
185227,yifanmai
187314,wadells
188915,coderbyheart
189073,skh
189568,wschurman
190297,PiotrSikora
191822,dpsanders
192142,mrry
195743,grubberr
204671,dalexsoto
205445,quartzmo
205482,Qard
209242,abadger
209440,vladimirdolzhenko
213894,vlsi
214813,jeffgolenski
215970,nik9000
218262,jonarbo
218971,klint
221481,kkourt
221530,aspacca
222642,AtkinsSJ
224089,clareconstantine
226650,trofi
230104,walterra
236070,yihuang
238395,wapcaplet
242568,sketchydroide
243320,buwilliams
243874,akulakov
244900,ruflin
249542,ZauberNerd
250273,kbrosnan
253067,karmatosed
254946,alanorozco
256041,nikosdion
260465,spouliot
264346,Noltari
271576,pavelsavara
273592,frosso
275848,MrSimonEmms
275871,bnoordhuis
278153,cnmade
278340,barthap
278470,phausler
278509,Amanieu
281303,aknuds1
282159,gochist
283834,kreek
288203,otaviomacedo
289678,strk
291359,SimonSapin
292349,folke
298299,ironcladlou
298705,CohenCyril
299804,exekias
300115,andyross
308347,lnicola
309017,Flamefire
309583,Lichtso
313003,StephaneDelcroix
316242,masayag
321738,ghengeveld
322311,benmccann
323878,roblourens
325476,xuhdev
326577,julien-c
329822,Julian
338792,aqk
339728,andyliuliming
341954,lheckemann
344777,denschub
345332,itsbilal
354746,erwinmombay
355313,bhosmer
359867,desrosj
362783,ZogStriP
363911,pepoviola
364566,shanejonas
372476,timothyqiu
374864,pkuczynski
375744,mattrobenolt
380816,gusaiani
381137,aam
386765,K900
387249,stephendonner
395821,rht
400034,GromNaN
400092,PhilETaylor
402008,iocanel
402156,pearu
402301,cescoffier
403174,snuyanzin
409053,klimkin
425260,eric-wieser
434655,daniellee
439401,stof
439929,jasnell
443137,dmage
446130,lhofhansl
448216,truthbk
451477,marun
455023,mgechev
456802,GeoffreyBooth
458946,mohanarpit
459691,cyrille-leclerc
461264,davidungar
463851,kertal
467709,kpp
469983,bgruening
478555,bieniu
480437,lambdageek
483422,kronic
487925,wyushun
489791,ericvsmith
490484,snicoll
492656,jimbishopp
493492,mmusgrov
494208,stellaraccident
495366,lptr
496447,roberth
499550,yyx990803
502017,xuzhao9
502810,sunag
504195,leonardoalt
505001,andreasnoack
505230,karlcow
510598,ocallesp
512266,flowerysong
517124,clokep
518707,MichaelRybak
522079,benhaynes
524596,Varriount
528166,binodpant
533828,ras0219
538415,metaodi
538604,kravciak
541490,morrah
541734,kezhuw
542836,mtlewis
548801,yln
555095,zeroshade
555336,mirka
556258,timbonicus
558581,MadLittleMods
559317,brianjmurrell
578543,webknjaz
580492,Swatinem
580733,andrea-ale-sbarra
580803,boxofrad
583075,patak-js
587583,tlei123
588407,m-kuhn
588688,aristath
590254,mattst88
595301,white238
596147,snowbound
598796,eladb
605277,uranusjr
611613,dominikg
611653,madirey
618376,herbygillot
625469,armano2
628742,cfrantz
635121,dimroc
635361,sivachandra
639247,ldm5180
644420,erikgrinaker
646194,muramura
649348,MattiasBuelens
656475,tjwatson
667047,drahnr
667719,akrieger
679122,nagisa
683300,linusnorton
683713,davidvossel
683742,sindrig
686971,khurtwilliams
698003,thinkyhead
700357,jonkeane
700834,ldionne
702790,npitre
702885,mbylstra
712614,petr-muller
712896,JDevlieghere
715491,borisdayma
725613,listx
731673,rduivenvoorde
734162,Eliacy
736001,Teemperor
736973,esDotDev
737767,LeSuisse
744556,JeffBezanson
759372,mcomella
763605,Linkgoron
773529,ammaraskar
775050,larsbrinkhoff
779047,remcohaszing
783988,brianseeders
787655,kdubb
788092,mirkosoft
788266,pat270
788783,genlu
793869,rjmccall
803976,gilescope
804385,andreilee
809335,dhiller
810438,gaearon
811374,zhangchiqing
811776,lsl
812075,spirosoik
812783,IanMatthewHuff
813007,nellshamrell
816900,seanyoung
817030,guotuofeng
820871,gibrown
828643,kshyatt
831192,wesleywiser
837034,bowei
838736,jelbourn
841763,sirreal
841956,swissspidy
852371,stevendanna
855595,doeg
856316,snnn
857660,Pennycook
859697,leoluk
859729,davkal
863730,fanquake
869724,infograf768
875779,jbaiera
882976,benesch
885054,wolfv
886074,teto
888624,rvantonder
890062,iAmMrinal0
899444,addaleax
903617,mtaufen
904474,mswiderski
907223,davidor
907672,mihaiplesa
908371,tsullivan
908479,gregsfortytwo
908958,goodwinnk
912735,leseb
913004,mkouba
919084,AntonKozlov
924948,dej611
926513,eshellman
936315,marianunez
937328,jeremybarbet
940341,fejta
943991,ilmirus
948037,Renzo-Olivares
955351,skorasaurus
955396,KurtYoung
958268,eryksun
959590,jplu
964386,deepak1556
969721,roobre
973741,weltenwort
979241,sunnya97
984252,noahgelman
984817,pauldambra
1007429,virtualroot
1014802,aocenas
1018684,Bakual
1022220,rafax
1022584,jdurgin
1027207,orf
1030580,anomiex
1031940,jeffhandley
1035262,chmst
1036561,davidanthoff
1036769,ccapurso
