,actor_id,login,name,email,bio,type,followers,following,tfidf_similarity,counts_of_activity,counts_of_issue,counts_of_pull_request,counts_of_repository,counts_of_commit,counts_of_active_day,periodicity_of_activities,counts_of_connection_account,median_response_time,label
0,1081405,0,0,0,0,0,4,1,0.019702907,134459,85,56,84,134209,246,0.967935562,4,24359.42553,Human
1,13100598,0,0,0,0,0,8,6,0.0,25035,21,11,4,24999,339,0.962912647,3,1566.5,Human
2,22494,0,0,0,0,0,1198,216,0.0,12351,51,4,165,12131,358,0.961636247,3,20805.77778,Human
3,7648032,0,0,0,0,0,77,2,0.00280992,113686,243,22726,532,90181,235,0.957627597,350,2125.555556,Bot
4,2163522,0,0,0,0,0,3,2,0.020193482,4779,124,0,79,4573,148,0.956401403,1,13059.4303,Human
5,27288824,0,0,0,0,0,18,6,0.0,20408,136,55,106,20099,360,0.956372291,6,686.7674419,Human
6,5709,0,0,0,0,0,61,16,0.0,31833,173,2,69,31588,289,0.955725373,3,2056.08,Human
7,1355668,0,0,0,0,0,21,0,0.003729407,119751,227,25610,10508,83406,217,0.953283351,462,16011.40625,Human
8,59210087,0,0,0,0,0,35,593,0.022199619,7512,9,1,868,6626,265,0.946448758,4,13600.8,Human
9,5076961,0,0,0,0,0,13,2,0.024716715,7614,2,0,4,7608,218,0.944379756,3,21351.0,Human
10,18280708,0,0,0,0,0,13,24,0.211571794,16847,575,191,191,15870,269,0.94400727,15,41097.21429,Human
11,759062,0,0,0,0,0,187,4,0.01501594,19358,846,2427,838,15216,280,0.943614431,47,11638.44444,Human
12,29738535,0,0,0,0,0,21,27,0.006669532,14936,45,73,182,14634,283,0.941187484,8,3324.25,Human
13,35039147,0,0,0,0,0,31,22,0.0,13630,55,6,104,13464,190,0.941046985,1,697.0,Human
14,11386439,0,0,0,0,0,33,28,0.033641309,17018,25,20,107,16861,154,0.937236023,5,2620.5,Human
15,8589138,0,0,0,0,0,5,1,0.305829811,161470,1261,15,95,160090,339,0.93691269,12,17997.71429,Human
16,3428506,0,0,0,0,0,7,30,0.208050277,27103,10,0,108,26970,351,0.934681027,2,13059.4303,Human
17,3162122,0,0,0,0,0,23,2,0.0,3318,61,7,22,3226,265,0.934294446,1,4928.8125,Human
18,28438021,0,0,0,0,0,111,8,0.04012299,23276,587,901,1082,20680,352,0.933442217,33,21542.83333,Human
19,87618423,0,0,0,0,0,15,0,0.095548613,81124,4,10,48,81059,122,0.932060118,2,531.0,Bot
