,actor_id
0,139
1,1812
2,3416
3,3467
4,3579
5,5709
6,6528
7,7074
8,8445
9,8911
10,8957
11,9230
12,10152
13,10602
14,11307
15,11602
16,13387
17,13717
18,14386
19,14539
20,15606
21,15763
22,17293
23,18562
24,19588
25,23610
26,23648
27,24063
28,24160
29,25519
30,25607
31,28052
32,28347
33,29231
34,32321
35,33993
36,34129
37,36186
38,37486
39,37907
40,38700
41,40828
42,41181
43,41495
44,41759
45,41873
46,43234
47,43312
48,44319
49,44410
50,45598
51,47985
52,51265
53,51689
54,51996
55,52642
56,54133
57,54589
58,55161
59,58298
60,59071
61,61303
62,61764
63,62500
64,63286
65,64215
66,64280
67,64996
68,65313
69,67392
70,68591
71,68752
72,70274
73,72431
74,75213
75,75371
76,76245
77,76526
78,76716
79,77424
80,78827
81,79476
82,79684
83,82778
84,86065
85,88600
86,89950
87,90008
88,90455
89,91535
90,93301
91,95136
92,96081
93,96462
94,100468
95,100896
96,101649
97,103023
98,103328
99,104522
100,105507
101,105766
102,111951
103,112310
104,112395
105,114137
106,114937
107,115105
108,115628
109,120810
110,120915
111,123942
112,125676
113,125759
114,127186
115,127797
116,128240
117,129077
118,130553
119,131856
120,132554
121,132773
122,132835
123,134711
124,135839
125,137648
126,138296
127,142862
128,143270
129,145119
130,150562
131,151885
132,154702
133,156260
134,158471
135,158500
136,163737
137,164791
138,168902
139,172303
140,172399
141,174009
142,174200
143,174281
144,174662
145,179026
146,179265
147,181681
148,185227
149,187314
150,188915
151,189073
152,189568
153,190297
154,191822
155,192142
156,195743
157,204671
158,205445
159,205482
160,209242
161,209440
162,213894
163,214813
164,215970
165,218262
166,218971
167,221481
168,221530
169,222642
170,224089
171,226650
172,230104
173,236070
174,238395
175,242568
176,243320
177,243874
178,244900
179,249542
180,250273
181,253067
182,254946
183,256041
184,260465
185,264346
186,271576
187,273592
188,275848
189,275871
190,278153
191,278340
192,278470
193,278509
194,281303
195,282159
196,283834
197,288203
198,289678
199,291359
200,292349
201,298299
202,298705
203,299804
204,300115
205,308347
206,309017
207,309583
208,313003
209,316242
210,321738
211,322311
212,323878
213,325476
214,326577
215,329822
216,338792
217,339728
218,341954
219,344777
220,345332
221,354746
222,355313
223,359867
224,362783
225,363911
226,364566
227,372476
228,374864
229,375744
230,380816
231,381137
232,386765
233,387249
234,395821
235,400034
236,400092
237,402008
238,402156
239,402301
240,403174
241,409053
242,425260
243,434655
244,439401
245,439929
246,443137
247,446130
248,448216
249,451477
250,455023
251,456802
252,458946
253,459691
254,461264
255,463851
256,467709
257,469983
258,478555
259,480437
260,483422
261,487925
262,489791
263,490484
264,492656
265,493492
266,494208
267,495366
268,496447
269,499550
270,502017
271,502810
272,504195
273,505001
274,505230
275,510598
276,512266
277,517124
278,518707
279,522079
280,524596
281,528166
282,533828
283,538415
284,538604
285,541490
286,541734
287,542836
288,548801
289,555095
290,555336
291,556258
292,558581
293,559317
294,578543
295,580492
296,580733
297,580803
298,583075
299,587583
300,588407
301,588688
302,590254
303,595301
304,596147
305,598796
306,605277
307,611613
308,611653
309,618376
310,625469
311,628742
312,635121
313,635361
314,639247
315,644420
316,646194
317,649348
318,656475
319,667047
320,667719
321,679122
322,683300
323,683713
324,683742
325,686971
326,698003
327,700357
328,700834
329,702790
330,702885
331,712614
332,712896
333,715491
334,725613
335,731673
336,734162
337,736001
338,736973
339,737767
340,744556
341,759372
342,763605
343,773529
344,775050
345,779047
346,783988
347,787655
348,788092
349,788266
350,788783
351,793869
352,803976
353,804385
354,809335
355,810438
356,811374
357,811776
358,812075
359,812783
360,813007
361,816900
362,817030
363,820871
364,828643
365,831192
366,837034
367,838736
368,841763
369,841956
370,852371
371,855595
372,856316
373,857660
374,859697
375,859729
376,863730
377,869724
378,875779
379,882976
380,885054
381,886074
382,888624
383,890062
384,899444
385,903617
386,904474
387,907223
388,907672
389,908371
390,908479
391,908958
392,912735
393,913004
394,919084
395,924948
396,926513
397,936315
398,937328
399,940341
400,943991
401,948037
402,955351
403,955396
404,958268
405,959590
406,964386
407,969721
408,973741
409,979241
410,984252
411,984817
412,1007429
413,1014802
414,1018684
415,1022220
416,1022584
417,1027207
418,1030580
419,1031940
420,1035262
421,1036561
422,1036769
423,1038121
424,1056976
425,1058480
426,1070090
427,1070455
428,1076393
429,1083045
430,1097932
431,1103838
432,1110944
433,1120448
434,1121690
435,1137607
436,1146263
437,1148376
438,1157043
439,1158422
440,1167539
441,1169991
442,1175079
443,1182160
444,1186214
445,1190754
446,1205393
447,1217863
448,1221423
449,1229027
450,1229869
451,1234602
452,1259027
453,1260124
454,1266923
455,1269602
456,1271364
457,1272980
458,1277384
459,1279263
460,1281082
461,1281646
462,1282736
463,1283854
464,1287077
465,1291671
466,1293187
467,1297909
468,1302569
469,1305167
470,1310524
471,1312662
472,1315079
473,1315533
474,1317309
475,1322187
476,1322534
477,1324157
478,1341245
479,1347065
480,1353258
481,1360766
482,1362617
483,1363683
484,1364952
485,1369626
486,1377188
487,1379753
488,1384394
489,1388263
490,1390682
491,1394552
492,1395158
493,1395797
494,1396388
495,1398104
496,1405026
497,1417888
498,1417913
499,1418734
500,1421724
501,1435716
502,1437785
503,1438610
504,1442575
505,1446000
506,1447245
507,1448489
508,1464705
509,1466284
510,1466293
511,1468151
512,1470602
513,1471612
514,1474978
515,1482532
516,1492044
517,1498098
518,1519854
519,1522652
520,1527017
521,1527164
522,1530031
523,1532486
524,1534605
525,1536740
526,1546518
527,1547348
528,1556219
529,1565449
530,1575538
531,1577185
532,1580697
533,1582097
534,1591700
535,1593513
536,1596656
537,1606434
538,1608406
539,1608770
